"","neighborhood","ofns_desc","count"
"180","Bedford Stuyvesant","OFFENSES AGAINST PUBLIC ADMINI",724
"181","Bedford Stuyvesant","OFFENSES AGAINST PUBLIC SAFETY",7
"182","Bedford Stuyvesant","OFFENSES AGAINST THE PERSON",210
"183","Bedford Stuyvesant","OFFENSES INVOLVING FRAUD",173
"184","Bedford Stuyvesant","OFFENSES RELATED TO CHILDREN",2
"185","Bedford Stuyvesant","OTHER OFFENSES RELATED TO THEF",189
"186","Bedford Stuyvesant","OTHER STATE LAWS",3
"187","Bedford Stuyvesant","OTHER STATE LAWS (NON PENAL LA",97
"188","Bedford Stuyvesant","PETIT LARCENY",12545
"189","Bedford Stuyvesant","PETIT LARCENY OF MOTOR VEHICLE",11
"190","Bedford Stuyvesant","POSSESSION OF STOLEN PROPERTY",268
"191","Bedford Stuyvesant","PROSTITUTION & RELATED OFFENSES",3
"192","Bedford Stuyvesant","RAPE",221
"193","Bedford Stuyvesant","ROBBERY",2625
"194","Bedford Stuyvesant","SEX CRIMES",946
"195","Bedford Stuyvesant","THEFT OF SERVICES",35
"196","Bedford Stuyvesant","THEFT-FRAUD",368
"197","Bedford Stuyvesant","UNAUTHORIZED USE OF A VEHICLE",156
"198","Bedford Stuyvesant","UNLAWFUL POSS. WEAP. ON SCHOOL",1
"199","Bedford Stuyvesant","VEHICLE AND TRAFFIC LAWS",1215
"200","Bensonhurst","ADMINISTRATIVE CODE",85
"201","Bensonhurst","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",2
"202","Bensonhurst","ALCOHOLIC BEVERAGE CONTROL LAW",3
"203","Bensonhurst","ARSON",32
"204","Bensonhurst","ASSAULT 3 & RELATED OFFENSES",3274
"205","Bensonhurst","BURGLAR'S TOOLS",23
"206","Bensonhurst","BURGLARY",1025
"207","Bensonhurst","CHILD ABANDONMENT/NON SUPPORT",3
"208","Bensonhurst","CRIMINAL MISCHIEF & RELATED OF",3152
"209","Bensonhurst","CRIMINAL TRESPASS",170
"210","Bensonhurst","DANGEROUS DRUGS",638
"211","Bensonhurst","DANGEROUS WEAPONS",205
"212","Bensonhurst","DISORDERLY CONDUCT",3
"213","Bensonhurst","FELONY ASSAULT",969
"214","Bensonhurst","FORGERY",144
"215","Bensonhurst","FRAUDS",222
"216","Bensonhurst","GAMBLING",1
"217","Bensonhurst","GRAND LARCENY",3305
"218","Bensonhurst","GRAND LARCENY OF MOTOR VEHICLE",560
"219","Bensonhurst","HARRASSMENT 2",5661
