"ofns_desc","Incident_Count","year","boro_nm"
"ASSAULT 3 & RELATED OFFENSES",12009,2020,"BRONX"
"CRIMINAL MISCHIEF & RELATED OF",10533,2020,"BRONX"
"GRAND LARCENY",6218,2020,"BRONX"
"FELONY ASSAULT",5907,2020,"BRONX"
"OFF. AGNST PUB ORD SENSBLTY &",3599,2020,"BRONX"
"ROBBERY",3519,2020,"BRONX"
"BURGLARY",2709,2020,"BRONX"
"DANGEROUS DRUGS",2576,2020,"BRONX"
"PETIT LARCENY",23220,2020,"BROOKLYN"
"HARRASSMENT 2",19140,2020,"BROOKLYN"
"CRIMINAL MISCHIEF & RELATED OF",13779,2020,"BROOKLYN"
"ASSAULT 3 & RELATED OFFENSES",11873,2020,"BROOKLYN"
"GRAND LARCENY",9267,2020,"BROOKLYN"
"FELONY ASSAULT",6236,2020,"BROOKLYN"
"MISCELLANEOUS PENAL LAW",4903,2020,"BROOKLYN"
"OFF. AGNST PUB ORD SENSBLTY &",4893,2020,"BROOKLYN"
"BURGLARY",4691,2020,"BROOKLYN"
"ROBBERY",3797,2020,"BROOKLYN"
"PETIT LARCENY",24403,2020,"MANHATTAN"
"HARRASSMENT 2",12822,2020,"MANHATTAN"
"GRAND LARCENY",11796,2020,"MANHATTAN"
"CRIMINAL MISCHIEF & RELATED OF",9998,2020,"MANHATTAN"
"ASSAULT 3 & RELATED OFFENSES",8631,2020,"MANHATTAN"
"BURGLARY",4666,2020,"MANHATTAN"
"FELONY ASSAULT",3762,2020,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",3338,2020,"MANHATTAN"
"ROBBERY",3050,2020,"MANHATTAN"
"DANGEROUS DRUGS",2383,2020,"MANHATTAN"
"PETIT LARCENY",17823,2020,"QUEENS"
"HARRASSMENT 2",15315,2020,"QUEENS"
"CRIMINAL MISCHIEF & RELATED OF",10506,2020,"QUEENS"
"ASSAULT 3 & RELATED OFFENSES",9315,2020,"QUEENS"
"GRAND LARCENY",7270,2020,"QUEENS"
"FELONY ASSAULT",4297,2020,"QUEENS"
"MISCELLANEOUS PENAL LAW",3426,2020,"QUEENS"
"BURGLARY",3253,2020,"QUEENS"
"OFF. AGNST PUB ORD SENSBLTY &",2820,2020,"QUEENS"
"ROBBERY",2574,2020,"QUEENS"
"HARRASSMENT 2",3662,2020,"STATEN ISLAND"
"PETIT LARCENY",2664,2020,"STATEN ISLAND"
"CRIMINAL MISCHIEF & RELATED OF",2470,2020,"STATEN ISLAND"
"ASSAULT 3 & RELATED OFFENSES",1584,2020,"STATEN ISLAND"
"GRAND LARCENY",1022,2020,"STATEN ISLAND"
"OFF. AGNST PUB ORD SENSBLTY &",914,2020,"STATEN ISLAND"
"MISCELLANEOUS PENAL LAW",856,2020,"STATEN ISLAND"
"FELONY ASSAULT",606,2020,"STATEN ISLAND"
"DANGEROUS DRUGS",349,2020,"STATEN ISLAND"
"BURGLARY",333,2020,"STATEN ISLAND"
"PETIT LARCENY",87165,2021,"Overall"
"HARRASSMENT 2",74793,2021,"Overall"
"ASSAULT 3 & RELATED OFFENSES",48326,2021,"Overall"
"CRIMINAL MISCHIEF & RELATED OF",44580,2021,"Overall"
"GRAND LARCENY",41968,2021,"Overall"
"FELONY ASSAULT",23067,2021,"Overall"
"OFF. AGNST PUB ORD SENSBLTY &",17146,2021,"Overall"
"MISCELLANEOUS PENAL LAW",14469,2021,"Overall"
"ROBBERY",13857,2021,"Overall"
"BURGLARY",12890,2021,"Overall"
"HARRASSMENT 2",16634,2021,"BRONX"
"PETIT LARCENY",13692,2021,"BRONX"
"ASSAULT 3 & RELATED OFFENSES",12256,2021,"BRONX"
"CRIMINAL MISCHIEF & RELATED OF",9145,2021,"BRONX"
"GRAND LARCENY",7145,2021,"BRONX"
"FELONY ASSAULT",6370,2021,"BRONX"
"ROBBERY",4038,2021,"BRONX"
"OFF. AGNST PUB ORD SENSBLTY &",3965,2021,"BRONX"
"GRAND LARCENY OF MOTOR VEHICLE",3109,2021,"BRONX"
"MISCELLANEOUS PENAL LAW",2370,2021,"BRONX"
"PETIT LARCENY",22980,2021,"BROOKLYN"
"HARRASSMENT 2",22215,2021,"BROOKLYN"
"ASSAULT 3 & RELATED OFFENSES",13180,2021,"BROOKLYN"
"CRIMINAL MISCHIEF & RELATED OF",12893,2021,"BROOKLYN"
"GRAND LARCENY",10577,2021,"BROOKLYN"
"FELONY ASSAULT",6741,2021,"BROOKLYN"
"OFF. AGNST PUB ORD SENSBLTY &",5530,2021,"BROOKLYN"
"MISCELLANEOUS PENAL LAW",5118,2021,"BROOKLYN"
"BURGLARY",3967,2021,"BROOKLYN"
"ROBBERY",3593,2021,"BROOKLYN"
"PETIT LARCENY",27275,2021,"MANHATTAN"
"HARRASSMENT 2",15011,2021,"MANHATTAN"
"GRAND LARCENY",13888,2021,"MANHATTAN"
"ASSAULT 3 & RELATED OFFENSES",10649,2021,"MANHATTAN"
"CRIMINAL MISCHIEF & RELATED OF",9659,2021,"MANHATTAN"
"FELONY ASSAULT",4817,2021,"MANHATTAN"
"BURGLARY",3654,2021,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",3641,2021,"MANHATTAN"
"ROBBERY",3549,2021,"MANHATTAN"
"DANGEROUS DRUGS",2746,2021,"MANHATTAN"
"PETIT LARCENY",19833,2021,"QUEENS"
"HARRASSMENT 2",16781,2021,"QUEENS"
"CRIMINAL MISCHIEF & RELATED OF",10488,2021,"QUEENS"
"ASSAULT 3 & RELATED OFFENSES",10471,2021,"QUEENS"
"GRAND LARCENY",9133,2021,"QUEENS"
"FELONY ASSAULT",4529,2021,"QUEENS"
"MISCELLANEOUS PENAL LAW",3738,2021,"QUEENS"
"OFF. AGNST PUB ORD SENSBLTY &",3065,2021,"QUEENS"
"BURGLARY",2778,2021,"QUEENS"
"GRAND LARCENY OF MOTOR VEHICLE",2567,2021,"QUEENS"
"HARRASSMENT 2",4149,2021,"STATEN ISLAND"
"PETIT LARCENY",2692,2021,"STATEN ISLAND"
"CRIMINAL MISCHIEF & RELATED OF",2387,2021,"STATEN ISLAND"
"ASSAULT 3 & RELATED OFFENSES",1763,2021,"STATEN ISLAND"
"GRAND LARCENY",1202,2021,"STATEN ISLAND"
"OFF. AGNST PUB ORD SENSBLTY &",944,2021,"STATEN ISLAND"
"MISCELLANEOUS PENAL LAW",937,2021,"STATEN ISLAND"
